Score (Indekseret score)
"59,18411609"
"64,72247251"
"57,11477366"
"58,23512401"
"61,02577182"
"63,52318859"
"59,31556434"
"52,6007458"
"62,06200695"
"59,94278806"
"66,62888839"
"66,67420262"
"64,60700862"
"63,76191332"
"56,53949909"
"63,1870186"
"60,92952465"
"63,96600504"
"69,96528744"
"60,38273395"
"58,17375875"
"62,2614867"
"61,53866774"
"67,69224347"
"60,64143857"
"62,61335216"
"62,04468559"
"65,19613976"
"67,30458253"
"62,2137586"
"58,92474549"
"63,11276944"
"56,74489891"
"56,8205473"
"48,59924244"
"54,21326861"
"62,5452328"
"58,4044199"
"49,52573863"
"54,34034592"
"65,22806676"
"64,10520345"
"61,10167218"
"48,20920211"
"48,99558386"
"46,23387218"
"62,55701963"
"68,1645448"
"64,60798494"
"66,05864986"
"65,50440552"
"60,80121808"
"67,56837809"
"67,62343447"
"61,1787494"
"54,29799741"
"66,6932925"
"56,10444929"
"55,71849676"
"53,17318181"
"53,73361365"
"57,08628605"
"64,04730613"
"82,22498568"
"61,51042184"
"59,23865556"
"62,2436555"
"63,57516218"
"55,42235207"
"60,98036723"
"71,85469698"
"59,06347294"
"58,8685826"
"61,50311257"
"64,50132574"
"58,81289042"
"54,15776446"
"68,31950613"
"57,60917866"
"55,76055026"
"51,73159574"
"56,42975363"
"52,58040722"
"56,0214248"
"61,9913894"
"55,4016118"
"69,46100181"
"51,09410933"
"70,9590405"
"72,79077074"
"72,50630883"
"60,1309141"
"62,22637292"
"59,91094355"
"56,52829235"
"52,54059867"
"61,82510296"
"63,72243694"
"59,12115382"
"53,05281822"
"52,21839202"
"54,20976832"
"61,54587357"
"56,97057042"
"70,11315238"
"64,9714628"
"67,57196464"
"61,99292976"
"50,58569759"
"55,46620859"
"49,80095465"
"52,69330198"
"53,06886325"
"48,61031345"
"68,52678939"
"54,71599655"
"54,05138151"
"46,33494977"
"55,03851481"
"58,95133869"
"50,98967587"
"64,37292726"
"50,97477968"
"67,50720393"
"51,48025027"
"50,31358303"
"53,68801596"
"46,36523994"
"55,40161714"
"52,420391"
"50,57417905"
"57,66833954"
"53,75570174"
"53,12044637"
"57,34601961"
"51,50675611"
"51,86771862"
"50,07733928"
"44,24293902"
"57,66626398"
"65,60972058"
"48,28578426"
"50,98336876"
"51,46805005"
"51,22663038"
"49,7750417"
"50,84180868"
"49,97858627"
"46,00951517"
"53,57519127"
"52,15982603"
"50,28704193"
"56,7417393"
"58,30831419"
"61,14974737"
"48,72663921"
"46,77830644"
"63,04052379"
"64,80047096"
"62,02586156"
"51,69768351"
"54,10806631"
"53,88013488"
"63,81570851"
"55,54111335"
"57,74179035"
"57,93817335"
"67,83254272"
"47,80564549"
"46,63911939"
"65,41467773"
"64,00731838"
"65,82656244"
"50,29841866"
"56,51330402"
"66,04158571"
"50,91752543"
"53,24630302"
"55,53306735"
"44,05111127"
"60,03512208"
"62,55087589"
"54,53260206"
"50,75992109"
"51,17176685"
"68,81906224"
"49,15323813"
"60,02131979"
"50,04661482"
"53,73015502"
"62,4867009"
"61,9646776"
"62,96505723"
"50,42234171"
"55,28729207"
"72,59581095"
"62,69560942"
"87,80689824"
"56,31617511"
"65,05607535"
"42,82597517"
"43,68010804"
"46,0962166"
"49,00821693"
"50,70649285"
"50,73287499"
"51,48866402"
"64,54183715"
"52,93423034"
"53,06429735"
"57,48286646"
"56,08239508"
"51,35421575"
"51,77729557"
"48,21084428"
"61,37688825"
"83,98405017"
"47,8953919"
"48,32637546"
